::1 - - [14/Mar/2024:18:19:48 +0000] "GET /uploads/users/dp---copy-1706246826820.jpeg HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:19:48 +0000] "GET /uploads/rooms/room-3-1706298968019.jpeg HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:19:48 +0000] "GET /uploads/rooms/room-10-1706299171288.jpeg HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [14/Mar/2024:18:20:05 +0000] "GET /api/v1/get-room-by-id-or-slug-name/d401 HTTP/1.1" 500 142 "-" "axios/1.6.3"
::ffff:127.0.0.1 - - [14/Mar/2024:18:20:06 +0000] "GET /api/v1/get-room-by-id-or-slug-name/d401 HTTP/1.1" 500 142 "-" "axios/1.6.3"
::1 - - [14/Mar/2024:18:24:10 +0000] "GET /api/v1/get-room-by-id-or-slug-name/d401 HTTP/1.1" 500 142 "-" "PostmanRuntime/7.36.1"
::ffff:127.0.0.1 - - [14/Mar/2024:18:25:02 +0000] "GET /api/v1/get-room-by-id-or-slug-name/d401 HTTP/1.1" 500 142 "-" "axios/1.6.3"
::ffff:127.0.0.1 - - [14/Mar/2024:18:25:02 +0000] "GET /api/v1/get-room-by-id-or-slug-name/d401 HTTP/1.1" 500 142 "-" "axios/1.6.3"
::ffff:127.0.0.1 - - [14/Mar/2024:18:25:02 +0000] "GET /api/v1/get-room-by-id-or-slug-name/d401 HTTP/1.1" 500 142 "-" "axios/1.6.3"
::ffff:127.0.0.1 - - [14/Mar/2024:18:25:02 +0000] "GET /api/v1/get-room-by-id-or-slug-name/d401 HTTP/1.1" 500 142 "-" "axios/1.6.3"
::ffff:127.0.0.1 - - [14/Mar/2024:18:25:25 +0000] "GET /api/v1/all-rooms-list HTTP/1.1" 200 1363 "-" "axios/1.6.3"
::1 - - [14/Mar/2024:18:25:25 +0000] "GET /uploads/users/dp---copy-1706246826820.jpeg HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
